Data generated for Whang 2021
Phrase-level contextual surprisal of "S2" after "S1" (Whang 2019, Shannon 1948)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1_	S2	BIPHONE-COUNT	CONTEXT-COUNT	Surprisal(S2)
tm	t	m	2	83399	15.34774246
tkʲ	t	kʲ	2	83399	15.34774246
tb	t	b	1	83399	16.34774246
tN	t	N	1	83399	16.34774246
tʲü	tʲ	ü	244	360	0.561115759
tʲu	tʲ	u	110	360	1.710493383
tʲU	tʲ	U	6	360	5.906890596
ʦu	ʦ	u	6194	9856	0.670130873
ʦU	ʦ	U	2976	9856	1.72762773
ʦü	ʦ	ü	346	9856	4.832158313
ʦk	ʦ	k	129	9856	6.255559285
ʦt	ʦ	t	35	9856	8.137503524
ʦkʲ	ʦ	kʲ	31	9856	8.31259023
ʦn	ʦ	n	25	9856	8.622930351
ʦs	ʦ	s	14	9856	9.459431619
ʦm	ʦ	m	12	9856	9.68182404
ʦQ	ʦ	Q	10	9856	9.944858446
ʦo	ʦ	o	8	9856	10.26678654
ʦj	ʦ	j	8	9856	10.26678654
ʦg	ʦ	g	7	9856	10.45943162
ʦʣ	ʦ	ʣ	7	9856	10.45943162
ʦa	ʦ	a	6	9856	10.68182404
ʦʦ	ʦ	ʦ	6	9856	10.68182404
ʦd	ʦ	d	6	9856	10.68182404
ʦʃ	ʦ	ʃ	6	9856	10.68182404
ʦi	ʦ	i	5	9856	10.94485845
ʦr	ʦ	r	4	9856	11.26678654
ʦ#	ʦ	#	3	9856	11.68182404
ʦe	ʦ	e	3	9856	11.68182404
ʦnʲ	ʦ	nʲ	3	9856	11.68182404
ʦw	ʦ	w	2	9856	12.26678654
ʦgʲ	ʦ	gʲ	2	9856	12.26678654
ʦë	ʦ	ë	1	9856	13.26678654
ʦf	ʦ	f	1	9856	13.26678654
ʦO	ʦ	O	1	9856	13.26678654
ʦö	ʦ	ö	1	9856	13.26678654
ʦp	ʦ	p	1	9856	13.26678654
ʦʤ	ʦ	ʤ	1	9856	13.26678654
ʦʧ	ʦ	ʧ	1	9856	13.26678654
ʦç	ʦ	ç	1	9856	13.26678654
ʧi	ʧ	i	5041	10639	1.077580693
ʧI	ʧ	I	1517	10639	2.810069562
ʧö	ʧ	ö	1180	10639	3.172503788
ʧo	ʧ	o	837	10639	3.66799112
ʧü	ʧ	ü	774	10639	3.780885176
ʧa	ʧ	a	531	10639	4.324506882
